N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
109,동서,"30,150",0,0.00%,500,"30,060","99,700",2.83,"90,586",28.31,8.61,
110,만도,"62,600","3,500",-5.30%,"1,000","29,395","46,957",20.82,"752,314",13.19,0.37,
111,호텔신라,"74,400","2,900",-3.75%,"5,000","29,201","39,248",12.92,"696,904",-28.56,-36.74,
112,한화생명,"3,325",170,+5.39%,"5,000","28,879","868,530",8.06,"7,053,556",3.77,1.90,
113,BNK금융지주,"8,830",270,+3.15%,"5,000","28,780","325,935",39.21,"2,156,216",3.53,6.11,
114,CJ대한통운,"126,000","1,500",-1.18%,"5,000","28,744","22,812",21.25,"26,921",97.60,3.89,
115,포스코인터내셔널,"22,850",0,0.00%,"5,000","28,191","123,375",6.86,"517,741",9.24,7.69,
116,두산퓨얼셀,"42,850","1,850",-4.14%,100,"28,064","65,494",14.26,"758,767",857.00,4.18,
117,에스원,"73,200",600,+0.83%,500,"27,815","37,999",52.95,"23,762",18.30,10.48,
118,대우조선해양,"25,550",350,+1.39%,"5,000","27,413","107,291",5.45,"438,052",-1.85,2.27,
119,키움증권,"102,000",0,0.00%,"5,000","26,744","26,220",25.52,"59,627",2.93,27.63,
120,씨에스윈드,"62,300",300,-0.48%,500,"26,273","42,171",11.18,"161,762",56.53,8.19,
121,효성티앤씨,"601,000","2,000",+0.33%,"5,000","26,009","4,328",17.68,"88,115",3.68,25.10,
122,대우건설,"6,230",60,+0.97%,"5,000","25,893","415,623",11.24,"1,961,977",5.29,11.06,
123,제일기획,"22,500",50,+0.22%,200,"25,884","115,041",31.99,"136,407",13.26,16.11,
124,한화에어로스페이스,"51,100","1,000",+2.00%,"5,000","25,872","50,630",16.67,"562,092",9.28,4.78,
125,DL이앤씨,"133,000","1,000",+0.76%,"5,000","25,747","19,359",25.65,"128,796",N/A,N/A,
126,SK케미칼,"145,500",0,0.00%,"5,000","25,638","17,621",16.41,"54,894",69.35,30.49,
127,OCI,"105,000","3,000",-2.78%,"5,000","25,042","23,849",16.31,"357,815",12.52,-9.89,
128,효성첨단소재,"549,000","18,000",-3.17%,"5,000","24,595","4,480",10.13,"42,610",11.45,0.03,
129,롯데쇼핑,"86,800",900,-1.03%,"5,000","24,555","28,289",11.18,"71,240",-9.23,-7.70,
130,솔루스첨단소재,"79,200","1,600",-1.98%,100,"24,227","30,590",7.51,"270,883",-311.81,-5.10,
131,LG화학우,"314,000","1,500",-0.48%,"5,000","24,143","7,689",70.02,"29,724",8.18,N/A,
132,BGF리테일,"139,000","1,000",-0.71%,"1,000","24,025","17,284",32.39,"23,257",17.39,18.60,
133,녹십자,"205,000","1,500",-0.73%,"5,000","23,957","11,687",22.78,"27,554",27.77,7.48,
134,현대차우,"98,300","1,700",-1.70%,"5,000","23,943","24,357",57.62,"31,536",4.98,N/A,
135,CJ,"81,500",400,-0.49%,"5,000","23,779","29,177",17.06,"34,798",70.62,1.89,
136,현대해상,"26,400",950,+3.73%,500,"23,602","89,400",25.42,"1,063,879",6.17,7.13,
137,현대로템,"21,550",150,+0.70%,"5,000","23,520","109,142",3.96,"1,170,250",75.09,2.84,
138,한화,"31,200",50,+0.16%,"5,000","23,387","74,959",15.99,"209,049",5.28,4.79,
139,KODEX 200선물인버스2X,"2,240",45,+2.05%,0,"23,336","1,041,800",4.75,"144,792,208",N/A,N/A,
140,신세계,"233,000","17,000",-6.80%,"5,000","22,939","9,845",24.30,"244,413",8.76,-2.81,
141,KODEX MSCI Korea TR,"12,635",75,-0.59%,0,"22,111","175,000",3.25,"532,204",N/A,N/A,
142,TIGER 200,"39,190",310,-0.78%,0,"21,515","54,900",0.94,"1,022,514",N/A,N/A,
143,영원무역,"48,400","1,100",+2.33%,500,"21,447","44,311",28.15,"279,697",9.30,8.03,
144,하이트진로,"30,550",200,-0.65%,"5,000","21,426","70,134",4.05,"130,009",41.62,8.23,
145,현대위아,"78,600","3,400",-4.15%,"5,000","21,375","27,195",6.51,"269,083",58.57,1.96,
146,더존비즈온,"68,100","1,400",-2.01%,500,"20,691","30,383",39.72,"65,962",33.33,15.09,
147,후성,"22,200",50,+0.23%,500,"20,559","92,607",7.51,"1,273,986",74.75,2.79,
148,휠라홀딩스,"33,600",500,-1.47%,"1,000","20,413","60,752",43.72,"257,135",8.68,10.94,
149,한샘,"86,600","2,400",-2.70%,"1,000","20,380","23,534",16.89,"87,491",25.48,10.83,
150,농심,"323,000","1,000",+0.31%,"5,000","19,647","6,083",12.68,"22,956",18.41,7.50,
151,효성,"92,000",300,-0.33%,"5,000","19,385","21,071",7.91,"52,730",5.01,-2.26,
152,코오롱인더,"70,300","1,300",-1.82%,"5,000","19,346","27,519",19.19,"138,415",10.91,9.70,
153,롯데정밀화학,"74,400","1,100",-1.46%,"5,000","19,195","25,800",22.23,"165,973",4.50,12.65,
154,두산,"115,000","1,500",+1.32%,"5,000","19,002","16,524",10.22,"49,665",-66.24,-34.34,
155,일진하이솔루스,"51,600","1,400",-2.64%,500,"18,738","36,313",3.05,"124,303",96.27,34.27,
156,TIGER 미국나스닥100,"84,115",935,-1.10%,0,"18,261","21,710",0.01,"168,812",N/A,N/A,
157,KODEX 레버리지,"22,985",395,-1.69%,0,"17,836","77,600",3.35,"16,044,683",N/A,N/A,
158,TIGER MSCI Korea TR,"15,880",140,-0.87%,0,"17,833","112,300",14.25,264,N/A,N/A,
159,LS,"54,700",200,+0.37%,"5,000","17,613","32,200",13.95,"54,094",6.87,3.94,
160,한미반도체,"35,250",750,-2.08%,200,"17,435","49,460",6.37,"195,903",20.96,21.03,
161,대웅,"29,650",300,-1.00%,500,"17,239","58,142",4.39,"61,821",16.33,15.10,
162,현대백화점,"73,000","1,300",-1.75%,"5,000","17,084","23,402",18.03,"71,524",11.04,1.65,
